x_m,y_m
1.181994307991359960e+01,-5.983841373175089462e-01
1.181403016826326002e+01,-6.232461939415725460e-01
1.180890546503723648e+01,-6.459991617993791069e-01
1.180341580006941982e+01,-6.734679216501802124e-01
1.179878305677997652e+01,-6.973213950051726506e-01
1.179408926102973432e+01,-7.251683155645012313e-01
1.178995430339376327e+01,-7.511356024033879475e-01
1.178596988881290031e+01,-7.797868237678164949e-01
1.178254665604149665e+01,-8.058620863986788452e-01
1.177930259538231184e+01,-8.357915468741086151e-01
1.177548635211355865e+01,-8.634140515453507803e-01
1.177195181920559008e+01,-8.927340798070448891e-01
1.176854241382632615e+01,-9.216295562401958241e-01
1.176533135528051766e+01,-9.519821622035127273e-01
1.176225909719242324e+01,-9.813701248312168834e-01
1.175942526719484782e+01,-1.011159405131542677e+00
1.175682245998113018e+01,-1.041127864413206039e+00
1.175442050039410802e+01,-1.072276091835097755e+00
1.175216412993848358e+01,-1.102508468335567038e+00
1.175015733397005135e+01,-1.133975929636932500e+00
1.174827540788628610e+01,-1.164769202701898321e+00
1.174664471272648747e+01,-1.195556228384690112e+00
1.174528651210052921e+01,-1.227154568705057791e+00
1.174409567774684504e+01,-1.258893465091329711e+00
1.174308525192408226e+01,-1.290079046801253959e+00
1.174236726001447195e+01,-1.321060278438954905e+00
1.174199379901472362e+01,-1.353261581923356438e+00
1.174178281047833750e+01,-1.385407364095698313e+00
1.174177953684431053e+01,-1.417291779713591993e+00
1.174203687933613693e+01,-1.449159790178872420e+00
1.174257530970335495e+01,-1.481066276276289839e+00
1.174340509510811081e+01,-1.512994597754169890e+00
1.174454083598907062e+01,-1.544935827391527683e+00
1.174600298369704099e+01,-1.577133131282685063e+00
1.174776357924360148e+01,-1.609642121048680208e+00
1.174977661550378194e+01,-1.641924642996624772e+00
1.175210392222821376e+01,-1.673863483320416901e+00
1.175481921484930048e+01,-1.706000498480585659e+00
1.175790470926952480e+01,-1.738478885779139560e+00
1.176038919328270005e+01,-1.771322787975177393e+00
1.176298756404887769e+01,-1.803536209863791928e+00
1.176584172666066053e+01,-1.835810393775736848e+00
1.176892521825311810e+01,-1.868673243234045600e+00
1.177215814260244464e+01,-1.901568464797559255e+00
1.177555082271646825e+01,-1.934104393903648411e+00
1.177825629556089559e+01,-1.966647805733101606e+00
1.178104089191209702e+01,-1.999524266125117355e+00
1.178384854183633479e+01,-2.032912366357421341e+00
1.178566924035566998e+01,-2.066342016284366423e+00
1.178733472411171235e+01,-2.098535441583345929e+00
1.178896526299604908e+01,-2.132207761379291355e+00
1.179032363619732138e+01,-2.166091079604921532e+00
1.179144236766511433e+01,-2.199123346494981757e+00
1.179239602937906994e+01,-2.233299387507420075e+00
1.179306778168753311e+01,-2.265870119345713363e+00
1.179364435543921275e+01,-2.300382809995393796e+00
1.179379676321770631e+01,-2.334359768154187886e+00
1.179375966978713386e+01,-2.367683448052325890e+00
1.179344202795811469e+01,-2.402205416977657659e+00
1.179280819717956952e+01,-2.435849358788712671e+00
